Upon his return , he discovered the betrayal and promptly excommunicated all the priests involved .	À son retour , il découvrit la trahison et a promptement excommunié tous les prêtres impliqués .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 10-11 11-12 12-13 13-14 14-15 15-16
The soil should be well drained .	Le sol doit être bien drainé .	0-0 1-1 2-2 3-3 4-4 5-5 6-6
On the third floor ideas for a more peaceful future should be worked out .	Au deuxième étage doivent être élaborées des idées pour un avenir de paix .	0-0 1-0 2-1 3-2 4-6 4-7 5-8 6-9 8-11 8-12 9-10 10-3 11-4 12-5 13-5 14-13
The level of ESF funding differs from one region to another depending on their relative wealth .	Le niveau de financement du FSE est variable d’ une région à l’ autre et dépend de sa richesse relative .	0-0 1-1 2-2 3-4 3-5 4-3 5-6 5-7 6-8 7-9 8-10 9-11 10-12 10-13 11-15 12-16 13-17 14-19 15-18 16-20
Ancient Romans boiled soured wine to produce a highly sweet syrup called sapa .	Les anciens Romains faisaient bouillir le « vin aigre » pour produire un sirop très sucré appelé sapa .	0-1 1-0 1-2 2-3 2-4 3-8 4-5 4-7 5-10 6-11 7-12 8-14 9-15 10-13 11-16 12-17 13-18
It consumed 13,200 houses , 87 parish churches , St Paul 's Cathedral , and most of the buildings of the City authorities .	Il brûle 13,200 maisons , 87 églises paroissiales , la cathédrale Saint-Paul , et la majorité des bâtiments publics de la Cité .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-11 10-11 11-11 12-9 12-11 13-12 14-13 15-14 15-15 16-16 17-16 18-17 19-19 20-20 21-21 23-22
From the portal , users can access data published on the websites of the various institutions , agencies and other bodies of the EU .	À partir du portail , les utilisateurs peuvent accéder aux données publiées sur les sites web des institutions , agences et autres organes de l’ UE .	0-0 0-1 0-2 1-2 2-3 3-4 4-5 4-6 5-7 6-8 7-10 8-11 9-12 10-13 11-14 11-15 12-16 13-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26
I just want to do God 's will .	Je veux juste accomplir la volonté de Dieu .	0-0 1-2 2-1 3-1 4-3 5-7 6-6 7-4 7-5 8-8
With treatment , less than 0.2 % of children require endotracheal intubation .	Sous traitement , moins de 0,2 % des enfants requièrent une intubation endotrachéale .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 8-8 9-9 10-12 11-10 11-11 12-13
Exempla are drawn from daily life .	Des exemples sont tirés de la vie quotidienne .	0-0 0-1 1-2 2-3 3-4 4-7 5-5 5-6 6-8
A single dose is usually all that is required , and is generally considered to be quite safe .	Une dose unique est habituellement suffisante , et considérée comme inoffensive .	0-0 1-2 2-1 3-3 4-4 5-5 6-5 7-5 8-5 9-6 10-7 11-3 13-8 14-9 16-9 17-10 18-11
During the Industrial Revolution , the life expectancy of children increased dramatically .	Au cours de la révolution industrielle , l' espérance de vie des enfants a augmenté de façon spectaculaire .	0-0 0-1 0-2 1-3 2-5 3-4 4-6 5-7 6-9 6-10 7-8 8-11 9-12 10-13 10-14 11-15 11-16 11-17 12-18
On this day , friendly matches , flash mobs , radio marathons , master classes , television shows , open training sessions , etc. took place .	Ce jour -là , des matches amicaux , des rassemblements éclair , des marathons radio , des master class , des émissions télévisées , des sessions d' entraînement publiques , etc. ont eu lieu .	1-0 1-2 2-1 3-3 4-6 5-5 6-7 7-10 8-9 9-11 10-14 11-13 12-15 13-17 14-18 15-19 16-22 17-21 18-23 19-18 20-26 20-27 21-25 22-19 23-30 24-31 24-32 25-33 26-34
Resolutions enable the Committee to express its view on important and topical issues .	Les résolutions permettent au CdR d' exprimer son point de vue sur des sujets importants ou des questions d' actualité .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 7-9 7-10 8-11 9-14 10-15 11-18 11-19 12-12 12-13 12-16 12-17 13-20
Most of the data accessible via the EU Open Data Portal are covered by the legal notice of the Europa website .	La plupart des données accessibles au moyen du portail des données ouvertes de l’ UE sont couvertes par l’ avis juridique du site web Europa .	0-0 0-1 1-2 2-2 3-3 4-4 5-5 5-6 5-7 6-7 7-12 7-13 7-14 8-11 9-9 9-10 10-8 11-15 12-16 13-17 14-18 15-20 16-19 17-21 18-21 19-24 20-23 21-25
The castle had changed owners several times .	Le château changea plusieurs fois de propriétaires .	0-0 1-1 2-2 3-2 4-6 5-3 6-4 7-7
The accounts of his death are contradictory .	Les anecdotes sur sa mort sont contradictoires .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
This book is well known and loved in our country by all boys and girls .	Ce livre est connu et apprécié aussi dans notre pays par tous les petits garçons et toutes les petites filles .	0-0 1-1 2-2 4-3 5-4 6-5 7-7 8-8 9-9 10-10 11-11 11-16 12-12 12-13 12-14 13-15 14-17 14-18 14-19 15-20
He also had his own publishing house and a bookshop .	Il eut aussi sa propre maison d' édition et une librairie .	0-0 1-2 2-1 3-3 4-4 5-6 5-7 6-5 7-8 8-9 9-10 10-11
The strategy defines the objectives of ESF funding , which it shares partly or wholly with other structural funding .	La stratégie du FSE définit les objectifs de ses financements , objectifs qu’ il partage pour tout ou partie avec les autres Fonds structurels .	0-0 1-1 2-4 3-5 4-6 5-7 6-2 6-3 7-9 8-10 9-11 9-12 10-13 11-14 12-15 12-18 13-17 14-15 14-16 15-19 16-20 16-21 17-23 18-22 19-24
During intercourse , the male will seize the skin of the neck of the female with his teeth .	Durant l' acte sexuel , le mâle saisit la peau du cou de la femelle entre ses dents .	0-0 1-1 1-2 1-3 2-4 3-5 4-6 5-7 6-7 7-8 8-9 9-10 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18
The outermost layer of the atmosphere contains crystals of frozen ammonia .	La couche la plus externe de la haute atmosphère contient des cristaux d' ammoniac .	0-0 1-2 1-3 1-4 2-1 3-5 4-6 5-8 6-9 7-10 7-11 8-10 10-13 11-14
We want peace for ourselves and for all peoples of the planet .	Nous voulons la paix pour nous-mêmes et pour tous les peuples de cette planète .	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 8-10 9-11 10-12 11-13 12-14
The main source of light on Earth is the Sun .	La source de lumière sur Terre est généralement le soleil .	0-0 1-7 2-1 3-2 4-3 5-4 6-5 7-6 8-8 9-9 10-10
In the autumn of 2004 , Princess began a course in ethnology at the same university .	À l' automne 2004 , la princesse a commencé un cours en ethnologie à la même université .	0-0 1-1 2-2 4-3 5-4 6-5 6-6 7-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17
The only major cities to escape destruction were Novgorod and Pskov .	Les seules villes importantes qui échappent à la destruction sont Novgorod et Pskov .	0-0 1-1 2-3 3-2 4-4 5-5 6-7 6-8 7-9 8-10 9-11 10-12 11-13
The ceremony is recorded by the Dutch public broadcasting channel NOS / NTR and broadcast through NED3 .	La cérémonie est enregistrée par la chaîne publique néerlandaise NOS / NTR et diffusée via NET3 .	0-0 1-1 2-2 3-3 4-4 5-5 6-8 7-7 9-6 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16
Perth is the capital of Western Australia .	Perth est la capitale d' Australie -[6 Occidentale .	0-0 1-1 2-2 3-3 4-4 5-7 6-5 7-8
Founded in Winnipeg , it had no affiliation with any church in Europe .	Fondée à Winnipeg , elle n' avait aucune affiliation avec les églises en Europe .	0-0 1-1 2-2 3-3 4-4 5-6 6-5 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14
They have a mild , sweet odor .	Elles dégagent un léger parfum très doux .	0-0 1-1 2-2 3-3 5-6 6-4 7-7
Tokyo MX was founded on April 30 , 1993 , and broadcasts commenced on November 1 , 1995 .	Tokyo MX a été fondé le 30 avril 1993 , et les premières diffusions ont commencé le 1er novembre 1995 .	0-0 1-1 2-2 2-3 3-4 5-7 6-5 6-6 8-8 0-0 10-10 11-11 11-13 12-14 12-15 14-18 15-16 15-17 17-19 18-20
His family life was not happy .	Sa vie familiale n' est guère heureuse .	0-0 1-2 2-1 3-4 4-3 4-5 5-6 6-7
The EU Open Data Portal is the point of access to public data published by the EU institutions , agencies and other bodies .	Le portail des données ouvertes de l’ UE constitue le point d' accès aux données publiées par les institutions , agences et autres organes de l’ UE .	0-0 1-5 1-6 1-7 2-4 3-2 3-3 4-1 5-8 6-9 7-10  8-11 9-12 10-13 11-15 12-13 12-14 14-16 15-17 16-24 16-26 17-18 18-19 19-20 20-21 21-22 22-23 23-27
Further investigations , such as blood tests , X-rays , and cultures , are rarly needed .	Des recherches plus poussées , comme les tests sanguins , radiographies ou cultures sont rarement indispensables .	0-2 0-3 1-0 1-1 2-4 3-5 4-5 5-8 6-6 6-7 7-9 8-10 10-11 11-12 13-13 14-14 15-15 16-16
Financial difficulties forced him to abandon his studies .	Des difficultés financières le forcent à interrompre ses études .	0-2 1-0 1-1 2-4 3-3 4-5 5-6 6-7 7-8 8-9
Pioneer 10 and Pioneer 11 both contain plaques that give pictorial information about their time and place of origin .	Pioneer 10 et Pioneer 11 ont tous les deux emporté des plaques montrant en images leur temps et lieu d’ origine .	0-0 1-1 2-2 3-3 4-4 5-6 5-7 5-8 6-5 6-9 7-10 7-11 8-12 9-12 10-13 10-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21
The European Social Agenda also plays a role in shaping the priorities of ESF spending .	L’ Agenda social européen joue également un rôle dans la définition des priorités d’ allocation des fonds du FSE .	0-0 1-3 2-2 3-1 4-5 5-4 6-6 7-7 8-8 9-9 9-10 10-11 11-12 12-13 13-15 13-16 13-17 13-18 14-14 15-19
Its seeds are dispersed by ants .	Ses fruits sont disséminés par les fourmis .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7
Lee was forced to change his plans .	Lee est contraint de changer ses plans .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
The first performance was given on 14 December 1918 at the Metropolitan Opera in New York City .	L' opéra fut donc créé le 14 décembre 1918 au Metropolitan Opera de New York .	0-0 2-1 3-2 4-4 6-5 6-6 7-7 8-8 9-9 10-9 11-10 12-11 13-12 14-13 15-14 17-15
It is separated from the Kremlin by Red Square .	Il est séparé du Kremlin par la place Rouge .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-8 8-6 8-7 9-9
His father was a shoe maker .	Son père était cordonnier .	0-0 1-1 2-2 3-3 4-3 5-3 6-4
The other principal character was Bishop Seraphim , whose real name was Stefan Ustvolsky .	L' autre personnage principal était l' évêque Seraphim , du quel le vrai nom était Stefan Ustvolsky .	0-0 1-1 2-3 3-2 4-4 5-5 5-6 6-7 7-8 8-9 8-10 9-12 10-11 10-13 11-14 12-15 13-16 14-17
IMI was launched in February 2008 .	IMI a été lancé en février 2008 .	0-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7
In Roman mythology , Neptune was the god of the sea .	Dans la mythologie romaine , Neptune était le dieu de la mer .	0-0 1-3 2-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12
The 1916 Olympics were awarded to Berlin , but canceled due to the First World War .	Les jeux de 1916 prévus à Berlin furent annulés en raison de la Première Guerre mondiale .	0-0 1-3 2-1 3-4 4-3 5-5 6-6 9-7 9-8 10-9 10-10 11-11 12-12 13-13 14-15 15-14 16-16
The gas is heavier than air .	Ce gaz est plus lourd que l' air .	0-0 1-1 2-2 3-3 3-4 4-5 5-6 5-7 6-8
The Moon illusion is an optical illusion which causes the Moon to appear larger near the horizon than it does higher up in the sky .	L’ illusion lunaire est une illusion d’ optique qui fait apparaître la lune plus grosse près de l’ horizon que lorsqu’ elle se trouve haut dans le ciel .	0-0 1-2 2-1 3-3 4-4 5-6 5-7 6-5 7-8 8-9 9-11 10-12 11-10 12-10 13-13 13-14 14-15 14-16 15-17 16-18 17-19 18-21 19-22 19-23 20-24 21-24 22-25 23-26 24-27 25-28
Red Bull owns two teams in Formula One , Red Bull Racing and Scuderia Toro Rosso .	Red Bull possède deux écuries de Formule 1 , Red Bull Racing et Scuderia Toro Rosso .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16
It is one of the six official languages of the United Nations .	Elle est l' une des six langues officielles des Nations unies .	0-0 1-1 2-2 2-3 3-4 4-4 5-5 6-7 7-6 8-8 9-8 10-10 11-9 12-11
He remained active in and around Paris until around 1848 when he retired from the musical scene .	Il est resté actif dans et autour de Paris jusque vers 1848 , puis il s' est retiré de la scène musicale .	0-0 1-1 1-2 2-3 3-4 4-5 5-6 5-7 6-8 7-9 8-10 9-11 10-13 11-14 12-15 12-16 12-17 13-18 14-19 15-21 16-20 17-22
In September 1996 the Taliban captured Kabul .	Les talibans prennent Kaboul en septembre 1996 .	0-4 1-5 2-6 3-0 4-1 5-2 6-3 7-7
In rare cases , it may occur in children between 3 months and 15 years .	Dans de rares cas , il peut survenir chez des enfants entre 3 mois et 15 ans .	0-0 1-2 2-1 2-3 3-4 4-5 5-6 6-7 7-8 8-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17
This serpent may survive more than one year without feeding .	Ce serpent peut rester pendant plus d' un an sans se nourrir .	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-8 8-9 9-10 9-11 10-12
Leaders of both parties tried to stop the fighting by calling dozens of truces .	Les dirigeants des deux parties tentent d' arrêter les combats instituant des dizaines de trêves .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-10 11-11 11-12 12-13 13-14 14-15
The entire household , including servants , would ideally dine together .	L' ensemble du foyer , dont les serviteurs , dînaient généralement ensemble .	0-0 1-1 2-2 2-3 4-5 5-6 5-7 6-8 7-9 8-10 9-9 10-11 11-12
In 1885 , Toppan began training to be a nurse at Cambridge Hospital .	En 1885 , Toppan débuta sa formation pour devenir une infirmière à l’ hôpital de Cambridge .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 10-11 11-14 11-15 12-12 12-13 13-16
He spent 108 days in jail between his arrest and trial on December 22 , 1930 .	Il passa 108 jours en prison entre son arrestation et son jugement , le 22 décembre 1930 .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 12-15 13-13 13-14 15-16 16-17
A link to these conditions can be found for each dataset .	Un lien vers ces conditions est disponible pour chaque jeu de données .	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-6 8-7 9-8 10-9 10-10 10-11 11-12
This glottal stop is never written at the beginning of a word .	Cet arrêt glottal ne s' écrit jamais en début de mot .	0-0 1-2 2-1 3-4 4-3 4-6 5-5 6-7 7-8 8-8 9-9 10-10 11-10 12-11
In March 1994 the CoR holds its first plenary session in Brussels .	Le CdR tient sa première session plénière en mars 1994 à Bruxelles .	0-7 1-8 2-9 3-1 4-1 5-2 6-3 7-4 8-6 9-5 10-10 11-11 12-12
Developmental biology studies the process by which organisms grow and develop .	La biologie du développement est l' étude des processus par lesquels les organismes croissent et se développent .	0-2 0-3 1-0 1-1 2-4 2-5 2-6 3-7 4-8 5-9 6-10 7-11 7-12 8-13 9-14 10-15 10-16 11-17
The majority of the population are Catholic .	La plus grande partie de la population est catholique .	0-0 1-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9
Endoparasites live inside the body of the host .	Des endoparasites vivent au sein de l' organisme de l' hôte .	0-0 0-1 1-2 2-3 2-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11
His successor , Ratchis , declared the duchies of Spoleto and Benevento foreign countries where it was forbidden to travel without royal permission .	Son successeur , Ratchis , déclare les duchés de Spolète et de Bénévent pays étrangers où il est désormais interdit de voyager sans autorisation royale .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 8-11 11-12 12-14 13-13 14-15 15-16 16-17 17-19 18-20 19-21 20-22 21-24 22-23 23-25
It is also capable of engaging more targets simultaneously .	Elle est capable d' accrocher plusieurs cibles simultanément .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8
Einhard states that Gisela had been dedicated to religion since her childhood .	Eginhard déclare que Gisela était destinée à la religion depuis l' enfance .	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 8-8 9-9 10-10 11-11 12-12
Woodard is known for his replicas of the Dreamachine , a mildly psychoactive lamp , which have been exhibited in art museums throughout the world .	Woodard est connu pour ses répliques de la Dreamachine , une lampe un peu psychoactive , exposée dans les musées d' art du monde entier .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-12 11-13 12-14 13-11 14-15 15-16 16-16 17-16 17-16 19-17 20-20 20-21 21-18 21-19 22-22 22-24 23-22 24-23 25-25
The Intel 4040 microprocessor was the successor to the Intel 4004 .	L’ Intel 4040 est le successeur de l' Intel 4004 .	0-0 1-1 2-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10
In 1994 , Lisbon was the European Capital of Culture .	Lisbonne est Capitale européenne de la culture en 1994 .	0-7 1-8 3-0 4-1 5-2 6-3 7-2 8-4 9-5 9-6 10-9
Pre-translated questions and answers as well as machine translation make it possible for them to use their own language to communicate .	Des questions et réponses pré-traduites ainsi qu’ un outil de traduction automatique leur permettent d’ utiliser leur propre langue pour communiquer .	0-4 1-0 1-1 2-2 3-3 4-5 5-4 6-6 7-11 8-7 8-8 8-9 8-10 9-13 10-13 11-13 12-12 13-12 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21
His early works are influenced by Expressionism .	Ses premiers tableaux sont influencés par l' expressionnisme .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8
Jupiter is the fifth planet from the Sun and the largest in the Solar System .	Jupiter est la cinquième et la plus grosse planète du système solaire .	0-0 1-1 2-2 3-3 4-8 8-4 9-5 10-6 10-7 11-9 12-9 13-11 14-10 15-12
Heyerdahl advanced a theory according to which the Canaries had been bases of ancient shipping between America and the Mediterranean .	Heyerdahl postule que les Canaries servaient de base pour les navires naviguant entre la Méditerranée et l’ Amérique .	0-0 1-1 2-1 3-1 4-2 5-2 6-2 7-3 8-4 9-5 10-5 11-7 12-8 14-9 14-10 14-11 15-12 16-16 16-17 17-15 18-13 19-14 20-18
By 1903 the Ukrainian immigrant population in Western Canada had become large enough to attract the attention of religious leaders , politicians , and educationalists .	À compter de 1903 , la population d’ immigrants ukrainiens dans l' Ouest du Canada était devenue suffisamment importante pour attirer l' attention des dirigeants religieux , des politiciens et des éducateurs .	0-0 0-1 0-2 1-3 2-5 3-9 3-7 4-8 5-6 6-10 7-11 7-12 18-13 18-14 9-15 10-16 11-18 12-17 13-19 14-20 15-21 16-22 17-23 18-25 19-23 19-24 20-26 21-27 21-28 23-29 24-30 24-31 25-32
1024 is the natural number following 1023 and preceding 1025 .	Le nombre 1024 ( mille vingt-quatre ) est l' entier naturel suivant 1023 et précédant 1025 .	0-2 1-7 2-8 3-10 4-9 5-11 6-12 7-13 8-14 9-15 10-16
The license must not discriminate against any person or group of persons .	La licence ne doit pas discriminer une personne ou un groupe de personnes .	0-0 1-1 2-3 3-2 3-4 4-5 6-6 7-7 8-8 9-9 9-10 10-11 11-12 12-13
It uses Virtuoso as an RDF database and has a SPARQL endpoint .	Il utilise Virtuoso comme base de données RDF et dispose d' un point de terminaison SPARQL .	0-0 1-1 2-2 3-3 5-7 6-4 6-5 6-6 7-8 8-9 9-11 10-15 11-12 11-13 11-14 12-16
He usually plays as left - wing .	Il joue habituellement comme ailier gauche .	0-0 1-2 2-1 3-3 4-5 6-4 7-6
Once the strategy and budget allocation have been agreed , a shared approach to programming is taken .	Une fois la stratégie et l’ allocation budgétaire décidées , la programmation fait l’ objet d’ une approche partagée .	0-0 0-1 1-2 2-3 3-4 4-7 5-5 5-6 6-8 7-8 8-8 9-9 10-16 11-18 12-17 13-15 14-10 14-11 15-12 16-13 16-14
The situation led to tension and caused disputes between the two parties .	Cette situation entraîna des tensions et des problèmes entre les deux populations .	0-0 1-1 2-2 3-2 4-3 4-4 5-5 6-2 7-6 7-7 8-8 9-9 10-10 11-11 12-12
Nonkilling refers to the absence of killing , threats to kill , and conditions conducive to killing in human society .	Le non-meurtre se réfère à l' absence de meurtres intentionnels , les menaces de tuer , et les conditions propices aux meurtres intentionnels dans la société humaine .	0-1 0-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 6-9 7-10 8-11 8-12 9-13 10-14 11-15 12-16 13-17 13-18 14-19 15-20 16-20 16-21 16-22 17-23 18-26 19-24 19-25 20-27
It may be applied to animals or plants .	Il peut être utilisé contre les animaux ou les plantes .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 7-9 8-10
A graph that contains a Hamiltonian cycle is called a Hamiltonian graph .	Un graphe qui contient un cycle hamiltonien est appelé graphe hamiltonien .	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7 8-8 10-10 11-9 12-11
It is one of largest stars known .	Elle est l' une des plus grandes étoiles connues .	0-0 1-1 2-2 2-3 3-4 4-5 4-6 5-4 5-7 6-8 7-9
After the war , the town was rebuilt .	Après la guerre , la ville fut reconstruite .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8
As croup worsens , stridor may decrease considerably .	Tandis que le croup s' aggrave , le stridor peut décroître considérablement .	0-0 0-1 1-2 1-3 2-4 2-5 3-6 4-7 4-8 5-9 6-10 7-11 8-12
It was even equipped with a radar .	Il est aussi équipé d' une installation radar .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8
This holiday was celebrated for the first time in 2014 in 16 countries .	En 2014 , cette fête a été célébrée pour la première fois dans 16 pays .	0-3 1-4 2-5 2-6 3-7 4-8 5-9 6-10 7-11 8-0 9-1 10-12 11-13 12-14 13-15
The initial objective was the definition of XML Standard for trademark information exchange .	L’ objectif initial a été la définition du standard XML pour l’ échange des données associées aux marques .	0-0 1-2 2-1 3-3 3-4 4-5 5-6 6-7 7-9 8-7 8-8 9-10 10-15 10-16 10-17 11-13 11-14 12-11 12-12 13-18
The film was nominated for three Oscars .	Le film a été nommé pour trois Oscars .	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-7 7-8
You write that you are anxious about whether there will be a nuclear war between our two countries .	Tu écris que tu es inquiète de l’ éventualité d’ une guerre nucléaire entre nos deux pays .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-8 9-8 10-8 11-10 12-12 13-11 14-13 15-14 16-15 17-16 18-17
Catalonia consists of four provinces : Barcelona , Girona , Lleida , and Tarragona .	La Catalogne est divisée en quatre provinces : Barcelone , Gérone , Lérida et Tarragone .	0-0 0-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 12-13 13-14 14-15
There is one national IMI coordinator ( NIMIC ) per Member State , often located in a national ministry .	Il y a un coordinateur national par État membre , souvent localisé dans un ministère national .	0-0 0-1 1-2 2-3 3-5 5-4 9-6 10-8 11-7 12-9 13-10 14-11 15-12 16-13 17-15 18-14 19-16
Uranus has 27 known natural satellites .	Uranus possède 27 satellites naturels connus .	0-0 1-1 2-2 3-5 4-4 5-3 6-6
In 2001 , when Cyrus was eight , she and her family moved to Toronto , in Canada .	En 2001 , alors que Cyrus est âgée de 8 ans , elle et sa famille s' installe à Toronto , au Canada .	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 6-8 6-9 6-10 7-11 8-12 9-13 10-14 11-15 12-16 12-17 13-18 14-19 15-20 16-21 17-21 17-22 18-23
The rate is the number of breaths per minute .	Les nombres correspondent au nombre de pulsations par minute .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9
A rapporteur is then appointed to draw up the Committee 's opinion .	Un rapporteur est alors désigné pour élaborer l' avis du Comité .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-7 9-9 9-10 10-9 11-8 12-11
The economic nature of society also changed dramatically .	La nature économique de la société change également énormément .	0-0 1-2 2-1 3-3 4-4 4-5 5-7 6-6 7-8 8-9
Throughout the first half of the 20th century , the city became a world center for industry , commerce , and communication .	Dans la première moitié du XXe siècle , la ville devint un centre d’ envergure internationale , au niveau industriel , commercial et pour les communications .	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-15 14-12 15-17 15-18 16-19 18-21 20-22 21-24 21-25 22-26
These policies affect basic economic , technological , and ideological structures .	Ces politiques affectent les structures économiques , technologiques , et idéologiques fondamentales .	0-0 1-1 2-2 3-11 4-5 5-6 6-7 7-8 8-9 9-10 10-4 11-12
Present human interference with the nonhuman world is excessive , and the situation is rapidly worsening .	L’interférence humaine actuelle avec le monde non-humain est excessive et nuisible , et la situation empire rapidement .	0-2 1-1 2-0 3-3 4-4 5-6 6-5 7-7 8-8 9-11 10-12 11-13 12-14 13-15 14-16 15-15 16-17
The crusaders decided to attack Damascus from the west , where orchards would provide them with a constant food supply .	Les croisés décidèrent d’ attaquer Damas par l’ ouest , où le verger pourrait leur fournir un approvisionnement alimentaire constant .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 11-12 12-13 13-15 14-14 16-16 17-19 18-18 19-17 20-20
Charlemagne built a new camp at Karlstadt .	Charlemagne a construit un nouveau camp à Karlstadt .	0-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8
The term was originally used in treaties to refer to the withdrawal of enemy troops and the restoration of prewar leadership .	Cette expression était à l' origine employée dans les traités pour se référer à un retrait des troupes ennemies et à la restauration de la souveraineté qui prévalait avant le début du conflit .	0-0 1-1 2-2 3-3 3-4 3-5 4-6 5-7 6-8 6-9 7-10 8-11 8-12 9-13 10-14 11-15 12-16 13-18 14-16 14-17 15-19 16-21 17-22 18-23 19-28 19-29 19-30 19-31 19-32 20-25 21-33
At this time the Russian Orthodox Church was spending $ 100,000 a year for missionary work in North America .	À l’ époque , l' Église Russe Orthodoxe dépensait 100,000 $ par an pour le travail des missionnaires en Amérique du Nord .	0-0 1-1 2-2 3-4 4-6 5-7 6-5 7-8 8-8 9-10 10-9 11-11 12-12 13-13 14-16 14-17 15-14 15-15 16-18 17-20 17-21 18-19 19-22
She raised the children by herself .	Elle a élevé ses fils seule .	0-0 1-1 1-2 2-3 3-4 4-5 5-5 6-6
The Secretary - General is appointed for five years by the Bureau .	Le Secrétaire général est nommé pour cinq ans par le Bureau du .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-12
In 1942 , he published his autobiography , The Secret Life of Salvador Dalí .	En 1942 , il publia son autobiographie , La Vie secrète de Salvador Dalí .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 11-11 12-12 13-13 14-14
During the night , both armies consolidated their lines .	Pendant la nuit , les deux armées consolidèrent leurs lignes .	0-0 1-1 2-2 3-3 4-5 5-4 5-6 6-7 7-8 8-9 9-10
The town is divided into two distinct parts : the old town and the new town .	La ville est composée de deux parties : la nouvelle ville et l' ancienne ville .	0-0 1-1 2-2 3-3 4-4 5-5 7-6 8-7 9-12 10-13 11-14 12-11 13-8 14-9 15-10 16-15
The High Representative of the Union for Foreign Affairs and Security Policy also takes part in its meetings .	Le haut représentant de l' Union pour les affaires étrangères et la politique de sécurité participe à ses travaux .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-9 8-7 8-8 9-10 10-13 10-14 11-11 11-12 13-15 14-15 15-16 16-17 17-18 18-19
They are able to swim fast .	De plus ils peuvent aussi nager très vite .	0-2 1-3 2-3 4-5 5-7 6-8
The process is not completed yet .	Ce processus n' est pas terminé .	0-0 1-1 2-3 3-2 3-4 4-5 6-6
